mode,id,expected,parsed,category,elapsed_seconds,completion_tokens
on,discount1-en,29150,29150,correct,24.516,1293
on,discount1-ko,29150,30150,wrong_number,20.609,1497
on,discount2-en,38780,38780,correct,10.188,1285
on,discount2-ko,38780,38780,correct,6.687,888
on,net1-en,73990,,truncated,10.969,1536
on,net1-ko,73990,,format_failure,4.312,564
on,net2-en,58170,,truncated,13.078,1536
on,net2-ko,58170,,format_failure,5.532,661
on,pack1-en,86800,86800,correct,8.39,1032
on,pack1-ko,86800,,format_failure,6.219,790
on,pack2-en,74100,74100,correct,4.984,620
on,pack2-ko,74100,,truncated,12.782,1536
on,tier1-en,10500,10500,correct,4.812,603
on,tier1-ko,10500,,format_failure,2.937,392
on,tier2-en,10600,,truncated,13.797,1536
on,tier2-ko,10600,,truncated,14.844,1536
on,mix1-en,26,26,correct,9.844,1104
on,mix1-ko,26,26,correct,4.734,510
on,mix2-en,22,22,correct,7.234,776
on,mix2-ko,22,22,correct,12.454,1356
on,time1-en,130,,truncated,15.438,1536
on,time1-ko,130,,truncated,13.906,1536
on,time2-en,123,110,wrong_number,10.266,1158
on,time2-ko,123,,truncated,13.468,1536
off,discount1-en,29150,,format_failure,15.359,9
off,discount1-ko,29150,3250,wrong_number,8.329,72
off,discount2-en,38780,,format_failure,0.171,9
off,discount2-ko,38780,3820,wrong_number,0.594,57
off,net1-en,73990,73990,correct,0.641,62
off,net1-ko,73990,-5810,wrong_number,1.172,114
off,net2-en,58170,728800,wrong_number,0.484,48
off,net2-ko,58170,-6030,wrong_number,1.063,114
off,pack1-en,86800,80600,wrong_number,0.609,64
off,pack1-ko,86800,68200,wrong_number,0.75,77
off,pack2-en,74100,68400,wrong_number,0.781,82
off,pack2-ko,74100,68400,wrong_number,1.875,214
off,tier1-en,10500,10500,correct,0.656,67
off,tier1-ko,10500,,format_failure,0.891,93
off,tier2-en,10600,10600,correct,0.688,66
off,tier2-ko,10600,,format_failure,0.89,92
off,mix1-en,26,26,correct,1.031,116
off,mix1-ko,26,26,correct,1.844,208
off,mix2-en,22,22,correct,1.11,122
off,mix2-ko,22,22,correct,2.14,229
off,time1-en,130,147,wrong_number,0.703,71
off,time1-ko,130,170,wrong_number,0.266,14
off,time2-en,123,136,wrong_number,0.578,55
off,time2-ko,123,,format_failure,3.016,387
